rn,strata,title,time,event_rr3,censor_rr3,at_risk_rr3,stderr,std.chaz
1,is_study_ind=0,Learners to Restricted (Over 18),0,S,60,17286,0,0
2,is_study_ind=0,Learners to Restricted (Over 18),1,S,48,17226,0,0
3,is_study_ind=0,Learners to Restricted (Over 18),2,S,33,17178,5.82E-05,5.82E-05
4,is_study_ind=0,Learners to Restricted (Over 18),3,S,48,17142,5.82E-05,5.82E-05
5,is_study_ind=0,Learners to Restricted (Over 18),4,S,48,17097,5.82E-05,5.82E-05
6,is_study_ind=0,Learners to Restricted (Over 18),5,S,45,17049,8.26E-05,8.26E-05
7,is_study_ind=0,Learners to Restricted (Over 18),6,102,39,17004,0.000604346,0.000602547
8,is_study_ind=0,Learners to Restricted (Over 18),7,174,48,16863,0.000993605,0.000989254
9,is_study_ind=0,Learners to Restricted (Over 18),8,156,33,16635,0.001246025,0.001240437
10,is_study_ind=0,Learners to Restricted (Over 18),9,189,33,16449,0.001505586,0.001498199
11,is_study_ind=0,Learners to Restricted (Over 18),10,162,33,16227,0.00170064,0.001692249
12,is_study_ind=0,Learners to Restricted (Over 18),11,174,69,16029,0.001892282,0.001882749
13,is_study_ind=0,Learners to Restricted (Over 18),12,195,60,15786,0.002089259,0.002078323
14,is_study_ind=0,Learners to Restricted (Over 18),13,195,84,15528,0.002277731,0.002265412
15,is_study_ind=0,Learners to Restricted (Over 18),14,189,63,15249,0.002451722,0.002438192
16,is_study_ind=0,Learners to Restricted (Over 18),15,201,69,15000,0.002629061,0.002614151
17,is_study_ind=0,Learners to Restricted (Over 18),16,165,57,14730,0.002771469,0.002755767
18,is_study_ind=0,Learners to Restricted (Over 18),17,159,63,14508,0.002905162,0.002888755
19,is_study_ind=0,Learners to Restricted (Over 18),18,216,81,14289,0.003085314,0.0030672
20,is_study_ind=0,Learners to Restricted (Over 18),19,177,90,13992,0.00322949,0.003210406
21,is_study_ind=0,Learners to Restricted (Over 18),20,186,69,13728,0.003380889,0.003360647
22,is_study_ind=0,Learners to Restricted (Over 18),21,192,75,13473,0.003536064,0.00351454
